,Name,Date,Rate,Votes,Genre,Duration,Type,Certificate,Episodes,Nudity,Violence,Profanity,Alcohol,Frightening
1206,Q,1970-01-01 00:00:00.000002011,5.5,"6,680","Drama, Romance",103.0,Film,Not Rated,-,Severe,Mild,Moderate,Moderate,Mild
1207,The Glass Wall,1970-01-01 00:00:00.000001953,6.9,928,"Drama, Film-Noir",82.0,Film,Approved,-,No Rate,No Rate,No Rate,No Rate,No Rate
1208,The Devil's Advocate,1970-01-01 00:00:00.000001997,7.5,"348,744","Drama, Mystery, Thriller",144.0,Film,R,-,Severe,Severe,Severe,Moderate,Severe
1209,Jessica Jones,1970-01-01 00:00:00.000001997,7.9,"200,880","Action, Crime, Drama",56.0,Series,TV-MA,39,Moderate,Moderate,Moderate,Moderate,Moderate
1210,Cruel Intentions,1970-01-01 00:00:00.000001999,6.8,"185,784","Drama, Romance",97.0,Film,R,-,Moderate,Mild,Moderate,Moderate,
1211,The Hunger Games: Catching Fire,1970-01-01 00:00:00.000002013,7.5,"634,465","Action, Drama, Mystery",146.0,Film,PG-13,-,Mild,Moderate,Mild,Mild,Moderate
1212,Veronica Mars,1970-01-01 00:00:00.000002013,8.3,"69,649","Crime, Drama, Mystery",44.0,Series,TV-14,72,Moderate,Mild,Mild,Moderate,Moderate
1213,Bates Motel,1970-01-01 00:00:00.000002013,8.1,"102,066","Drama, Horror, Mystery",45.0,Series,TV-MA,50,Moderate,Severe,Moderate,Moderate,Severe
1214,Love on the Spectrum,1970-01-01 00:00:00.000002013,8.6,"4,403","Documentary, Reality-TV, Romance",45.0,Series,TV-14,11,No Rate,No Rate,No Rate,No Rate,No Rate
1215,Binsenjo,1970-01-01 00:00:00.000002013,8.5,"10,279","Comedy, Crime, Romance",80.0,Series,Not Rated,21,,Severe,Mild,Mild,Severe
1217,Crazy Rich Asians,1970-01-01 00:00:00.000002018,6.9,"156,523","Comedy, Drama, Romance",120.0,Film,PG-13,-,Mild,,Mild,Mild,
1218,Reservoir Dogs,1970-01-01 00:00:00.000001992,8.3,"960,882","Crime, Drama, Thriller",99.0,Film,R,-,Mild,Severe,Severe,Mild,Moderate
1219,Alma's Not Normal,1970-01-01 00:00:00.000001992,8.0,632,Comedy,28.0,Series,,7,No Rate,No Rate,No Rate,No Rate,No Rate
1220,I Care a Lot,1970-01-01 00:00:00.000002020,6.3,"115,825","Comedy, Crime, Thriller",118.0,Film,R,-,Mild,Mild,Severe,Mild,Mild
1221,Zombieland,1970-01-01 00:00:00.000002009,7.6,"543,896","Adventure, Comedy, Fantasy",88.0,Film,R,-,Mild,Severe,Moderate,Moderate,Moderate
1222,The Empty Man,1970-01-01 00:00:00.000002020,6.1,"19,531","Horror, Mystery, Thriller",137.0,Film,R,-,Moderate,Severe,Moderate,Moderate,Moderate
1223,V/H/S,1970-01-01 00:00:00.000002012,5.8,"59,654","Horror, Thriller",116.0,Film,R,-,Severe,Severe,Severe,Moderate,Severe
1224,Monster Hunter,1970-01-01 00:00:00.000002020,5.3,"47,782","Action, Adventure, Fantasy",103.0,Film,PG-13,-,,Moderate,Mild,,Moderate
1225,Motherless Brooklyn,1970-01-01 00:00:00.000002019,6.8,"51,085","Crime, Drama, Mystery",144.0,Film,R,-,,Moderate,Severe,Moderate,Mild
1226,Her,1970-01-01 00:00:00.000002013,8.0,"569,643","Drama, Romance, Sci-Fi",126.0,Film,R,-,Moderate,,Severe,Mild,
1227,Captain America: Civil War,1970-01-01 00:00:00.000002016,7.8,"711,887","Action, Adventure, Sci-Fi",147.0,Film,PG-13,-,,Moderate,Mild,Mild,Moderate
1228,Everybody Loves Raymond,1970-01-01 00:00:00.000002016,7.1,"66,871",Comedy,22.0,Series,TV-PG,210,Mild,Mild,Mild,Mild,
1229,Bombshell,1970-01-01 00:00:00.000002019,6.8,"103,589","Biography, Drama",109.0,Film,R,-,Mild,,Moderate,,Mild
1230,Pirates of the Caribbean: Dead Men Tell No Tales,1970-01-01 00:00:00.000002017,6.5,"281,909","Action, Adventure, Fantasy",129.0,Film,PG-13,-,Mild,Moderate,Mild,Mild,Moderate
1231,The Closer,1970-01-01 00:00:00.000002017,7.6,"24,259","Crime, Drama, Mystery",46.0,Series,TV-14,109,Moderate,Moderate,Moderate,Moderate,Mild
1232,6 Underground,1970-01-01 00:00:00.000002019,6.1,"155,099","Action, Thriller",128.0,Film,R,-,Moderate,Severe,Severe,Mild,Severe
1233,Insidious,1970-01-01 00:00:00.000002010,6.8,"292,636","Horror, Mystery, Thriller",103.0,Film,PG-13,-,,Mild,Mild,,Severe
1234,Beauty and the Beast,1970-01-01 00:00:00.000002017,7.1,"289,282","Adventure, Family, Fantasy",129.0,Film,PG,-,,Mild,,Mild,Mild
1235,Secretary,1970-01-01 00:00:00.000002002,7.0,"88,090","Comedy, Drama, Romance",107.0,Film,R,-,Severe,Moderate,Moderate,Moderate,Moderate
1236,An American Werewolf in London,1970-01-01 00:00:00.000001981,7.5,"99,655","Comedy, Horror",97.0,Film,R,-,Moderate,Severe,Moderate,Mild,Severe
1237,Jurassic World: Fallen Kingdom,1970-01-01 00:00:00.000002018,6.2,"284,218","Action, Adventure, Sci-Fi",128.0,Film,PG-13,-,,Moderate,Mild,Mild,Moderate
1238,Legend,1970-01-01 00:00:00.000002015,6.9,"167,565","Biography, Crime, Drama",132.0,Film,R,-,Mild,Severe,Severe,Moderate,Moderate
1239,Werewolves Within,1970-01-01 00:00:00.000002021,6.0,"9,310","Comedy, Horror",97.0,Film,R,-,,Moderate,Moderate,Mild,Moderate
1240,National Lampoon's Animal House,1970-01-01 00:00:00.000001978,7.5,"116,601",Comedy,109.0,Film,R,-,Moderate,Mild,Moderate,Moderate,
1241,The Haunting,1970-01-01 00:00:00.000001999,5.0,"74,101","Fantasy, Horror, Mystery",113.0,Film,PG-13,-,,Moderate,Mild,,Moderate
1242,Lady Bird,1970-01-01 00:00:00.000002017,7.4,"262,122","Comedy, Drama",94.0,Film,R,-,Moderate,,Moderate,Mild,
1243,Ghostbusters,1970-01-01 00:00:00.000002016,6.5,"213,425","Action, Comedy, Fantasy",117.0,Film,PG-13,-,Mild,Mild,Mild,Mild,Mild
1244,Alien: Covenant,1970-01-01 00:00:00.000002017,6.4,"266,421","Horror, Sci-Fi, Thriller",122.0,Film,R,-,Mild,Severe,Severe,Mild,Severe
1245,Sa-rang-eui bul-sa-chak,1970-01-01 00:00:00.000002017,8.7,"19,138","Adventure, Comedy, Romance",70.0,Series,TV-14,19,,Mild,Mild,Mild,Mild
1246,Diamonds Are Forever,1970-01-01 00:00:00.000001971,6.6,"101,298","Action, Adventure, Thriller",120.0,Film,GP,-,Mild,Moderate,Mild,Mild,Moderate
1247,The Strangers,1970-01-01 00:00:00.000002008,6.2,"124,628","Horror, Mystery, Thriller",86.0,Film,R,-,Mild,Severe,Moderate,Mild,Severe
1248,Annihilation,1970-01-01 00:00:00.000002018,6.8,"299,235","Adventure, Drama, Horror",115.0,Film,R,-,Mild,Severe,Moderate,Mild,Severe
1249,Mr. Mercedes,1970-01-01 00:00:00.000002018,7.8,"19,250","Crime, Drama, Mystery",60.0,Series,TV-MA,30,Moderate,Severe,Severe,Moderate,Severe
1250,Safe House,1970-01-01 00:00:00.000002012,6.7,"215,694","Action, Thriller",115.0,Film,R,-,Mild,Severe,Moderate,Mild,Moderate
1251,Harley Quinn,1970-01-01 00:00:00.000002012,8.5,"19,404","Animation, Action, Adventure",23.0,Series,TV-MA,27,Mild,Severe,Severe,Moderate,Moderate
1252,Batman,1970-01-01 00:00:00.000001989,7.5,"352,836","Action, Adventure",126.0,Film,PG-13,-,Mild,Moderate,Mild,Mild,Moderate
1253,Romeo + Juliet,1970-01-01 00:00:00.000001996,6.7,"218,911","Drama, Romance",120.0,Film,PG-13,-,Mild,Moderate,,Moderate,Moderate
1254,The Twilight Saga: Breaking Dawn - Part 2,1970-01-01 00:00:00.000002012,5.5,"239,785","Adventure, Drama, Fantasy",115.0,Film,PG-13,-,Moderate,Severe,Mild,,Moderate
1255,Terminator 2: Judgment Day,1970-01-01 00:00:00.000001991,8.5,"1,036,534","Action, Sci-Fi",137.0,Film,R,-,Mild,Moderate,Moderate,Mild,Moderate
1256,The Affair,1970-01-01 00:00:00.000001991,7.9,"42,952",Drama,60.0,Series,TV-MA,53,Severe,Moderate,Moderate,Moderate,Mild
1257,Dead Poets Society,1970-01-01 00:00:00.000001989,8.1,"450,878","Comedy, Drama",128.0,Film,PG,-,Mild,Mild,Mild,Mild,Moderate
1258,Gremlins,1970-01-01 00:00:00.000001984,7.3,"208,469","Comedy, Fantasy, Horror",106.0,Film,PG,-,,Moderate,Mild,Mild,Moderate
1259,Doctor Who,1970-01-01 00:00:00.000001984,8.4,"36,451","Adventure, Drama, Family",45.0,Series,TV-PG,696,,Moderate,Mild,Mild,Moderate
1260,The Babadook,1970-01-01 00:00:00.000002014,6.8,"208,551","Drama, Horror, Mystery",94.0,Film,Not Rated,-,Mild,Moderate,Mild,,Severe
1261,Idiocracy,1970-01-01 00:00:00.000002006,6.6,"153,563","Adventure, Comedy, Sci-Fi",84.0,Film,R,-,Mild,Mild,Severe,Moderate,Mild
1262,Red Sparrow,1970-01-01 00:00:00.000002018,6.6,"176,235","Action, Drama, Thriller",140.0,Film,R,-,Severe,Severe,Severe,Moderate,Severe
1263,Stargate: Atlantis,1970-01-01 00:00:00.000002018,8.1,"63,512","Action, Adventure, Drama",44.0,Series,TV-PG,99,,Moderate,Mild,,Mild
1264,Resident Evil,1970-01-01 00:00:00.000002002,6.7,"257,886","Action, Horror, Sci-Fi",100.0,Film,R,-,Mild,Severe,Moderate,,Moderate
1265,Doc Martin,1970-01-01 00:00:00.000002002,8.3,"14,098","Comedy, Drama, Romance",46.0,Series,TV-14,71,Mild,Mild,Mild,Mild,Mild
1266,Casino,1970-01-01 00:00:00.000001995,8.2,"489,633","Crime, Drama",178.0,Film,R,-,Moderate,Severe,Severe,Moderate,Severe
1268,The Owl House,1970-01-01 00:00:00.000002022,8.2,"6,139","Animation, Short, Action",22.0,Series,TV-Y7-FV,43,,Mild,,,Mild
1269,Life,1970-01-01 00:00:00.000002017,6.6,"217,612","Horror, Sci-Fi, Thriller",104.0,Film,R,-,,Moderate,Moderate,,Severe
1270,Flight,1970-01-01 00:00:00.000002012,7.3,"338,701","Drama, Thriller",138.0,Film,R,-,Severe,Moderate,Severe,Severe,Moderate
1271,Final Destination 3,1970-01-01 00:00:00.000002006,5.8,"135,910","Horror, Mystery, Thriller",93.0,Film,R,-,Moderate,Severe,Severe,,Severe
1272,Office Space,1970-01-01 00:00:00.000001999,7.7,"252,755",Comedy,89.0,Film,R,-,Mild,,Moderate,Mild,
1273,Cruel Summer,1970-01-01 00:00:00.000001999,7.5,"10,578","Drama, Mystery, Thriller",45.0,Series,TV-14,11,Mild,Mild,Mild,Mild,Mild
1274,Darkest Hour,1970-01-01 00:00:00.000002017,7.4,"186,414","Biography, Drama, History",125.0,Film,PG-13,-,,Mild,Mild,Moderate,Mild
1275,Lovecraft Country,1970-01-01 00:00:00.000002020,7.1,"36,249","Drama, Fantasy, Horror",60.0,Series,TV-MA,10,Severe,Severe,Moderate,Moderate,Severe
1276,Salò o le 120 giornate di Sodoma,1970-01-01 00:00:00.000001975,5.9,"57,264","Drama, Horror",117.0,Film,Not Rated,-,Severe,Severe,Severe,Mild,Severe
1277,Interview with the Vampire: The Vampire Chronicles,1970-01-01 00:00:00.000001994,7.5,"304,969","Drama, Horror",123.0,Film,R,-,Moderate,Severe,Mild,Mild,Severe
1278,Boku no Hero Academia: World Heroes Mission,1970-01-01 00:00:00.000002021,7.8,449,"Animation, Action, Adventure",104.0,Film,,-,No Rate,No Rate,No Rate,No Rate,No Rate
1279,Law & Order: Criminal Intent,1970-01-01 00:00:00.000002021,7.4,"24,157","Crime, Drama, Mystery",60.0,Series,TV-14,195,Mild,Mild,,Mild,Moderate
1281,The Last Letter from Your Lover,1970-01-01 00:00:00.000002021,6.7,"12,083","Drama, Romance",110.0,Film,TV-MA,-,Mild,,Mild,Mild,
1282,The Intouchables,1970-01-01 00:00:00.000002011,8.5,"799,654","Biography, Comedy, Drama",112.0,Film,R,-,Mild,Mild,Moderate,Moderate,Mild
1283,The Magicians,1970-01-01 00:00:00.000002011,7.6,"46,959","Drama, Fantasy, Mystery",60.0,Series,TV-14,65,Mild,Moderate,Severe,Severe,Moderate
1284,The Fog,1970-01-01 00:00:00.000001980,6.8,"69,031","Horror, Thriller",89.0,Film,R,-,,Moderate,Mild,Mild,Moderate
1285,Body of Lies,1970-01-01 00:00:00.000002008,7.1,"220,568","Action, Drama, Thriller",128.0,Film,R,-,Mild,Severe,Moderate,Mild,Severe
1286,Boy Meets World,1970-01-01 00:00:00.000002008,8.0,"40,624","Comedy, Drama, Family",23.0,Series,TV-G,158,Mild,Mild,Mild,Mild,Mild
1287,Cidade de Deus,1970-01-01 00:00:00.000002002,8.6,"723,680","Crime, Drama",130.0,Film,R,-,Moderate,Severe,Severe,Severe,Severe
1288,Unfaithful,1970-01-01 00:00:00.000002002,6.7,"84,350","Drama, Romance, Thriller",124.0,Film,R,-,Severe,Moderate,Moderate,Mild,Moderate
1289,X-Men Origins: Wolverine,1970-01-01 00:00:00.000002009,6.6,"483,128","Action, Sci-Fi",107.0,Film,PG-13,-,Mild,Moderate,Mild,Mild,Moderate
1291,The Fresh Prince of Bel-Air,1970-01-01 00:00:00.000002009,7.9,"126,998",Comedy,22.0,Series,TV-PG,148,Mild,Mild,Mild,Mild,
1292,Star Wars: Episode VII - The Force Awakens,1970-01-01 00:00:00.000002015,7.8,"886,828","Action, Adventure, Sci-Fi",138.0,Film,PG-13,-,,Moderate,Mild,,Moderate
1293,The Fast and the Furious: Tokyo Drift,1970-01-01 00:00:00.000002006,6.0,"258,007","Action, Crime, Thriller",104.0,Film,PG-13,-,Mild,Moderate,Mild,Mild,Moderate
1294,Ant-Man,1970-01-01 00:00:00.000002015,7.3,"609,889","Action, Adventure, Comedy",117.0,Film,PG-13,-,,Mild,Mild,Mild,Mild
1295,Your Honor,1970-01-01 00:00:00.000002015,7.6,"39,369","Crime, Drama, Thriller",57.0,Series,TV-MA,11,Mild,Severe,Mild,Mild,Severe
1296,Minari,1970-01-01 00:00:00.000002020,7.5,"61,889",Drama,115.0,Film,PG-13,-,,,Mild,Mild,Mild
1297,The Strain,1970-01-01 00:00:00.000002020,7.3,"77,922","Drama, Fantasy, Horror",43.0,Series,TV-MA,46,Mild,Severe,Moderate,Moderate,Severe
1298,Final Destination 2,1970-01-01 00:00:00.000002003,6.2,"159,109","Horror, Thriller",90.0,Film,R,-,Moderate,Severe,Moderate,Moderate,Moderate
1299,"Three Billboards Outside Ebbing, Missouri",1970-01-01 00:00:00.000002017,8.1,"468,173","Comedy, Crime, Drama",115.0,Film,R,-,Mild,Moderate,Severe,Moderate,Moderate
1300,Rogue One,1970-01-01 00:00:00.000002016,7.8,"582,140","Action, Adventure, Sci-Fi",133.0,Film,PG-13,-,,Moderate,,,Moderate
1301,Now You See Me,1970-01-01 00:00:00.000002013,7.2,"622,412","Crime, Mystery, Thriller",115.0,Film,PG-13,-,Mild,Mild,Mild,Mild,Mild
1302,American Hustle,1970-01-01 00:00:00.000002013,7.2,"462,992","Crime, Drama",138.0,Film,R,-,Moderate,Mild,Severe,Moderate,Mild
1303,The Reader,1970-01-01 00:00:00.000002008,7.6,"236,664","Drama, Romance",124.0,Film,R,-,Severe,,Mild,Mild,Mild
1304,Captain Fantastic,1970-01-01 00:00:00.000002016,7.9,"205,967","Comedy, Drama",118.0,Film,R,-,Moderate,Moderate,Moderate,Mild,Mild
1305,A Beautiful Mind,1970-01-01 00:00:00.000002001,8.2,"883,637","Biography, Drama",135.0,Film,PG-13,-,Mild,Mild,Mild,Mild,Moderate
1306,10 Things I Hate About You,1970-01-01 00:00:00.000001999,7.3,"315,247","Comedy, Drama, Romance",97.0,Film,PG-13,-,Mild,Mild,Mild,Mild,
1307,The Witches of Eastwick,1970-01-01 00:00:00.000001987,6.6,"66,202","Comedy, Fantasy, Horror",118.0,Film,R,-,Mild,Mild,Moderate,Mild,Mild
1308,Just Beyond,1970-01-01 00:00:00.000001987,5.8,414,"Comedy, Fantasy, Horror",24.0,Series,TV-PG,8,No Rate,Mild,No Rate,No Rate,Mild
1309,Fantastic Beasts and Where to Find Them,1970-01-01 00:00:00.000002016,7.3,"429,713","Adventure, Family, Fantasy",132.0,Film,PG-13,-,,Moderate,Mild,Mild,Moderate
1310,Mulan,1970-01-01 00:00:00.000002020,5.7,"136,564","Action, Adventure, Drama",115.0,Film,PG-13,-,,Mild,,,Mild
1311,About Time,1970-01-01 00:00:00.000002013,7.8,"323,864","Comedy, Drama, Fantasy",123.0,Film,R,-,Mild,Mild,Moderate,Mild,Mild
1312,The Ghost and Molly McGee,1970-01-01 00:00:00.000002013,8.1,205,"Animation, Short, Adventure",22.0,Series,TV-Y7,7,,No Rate,No Rate,No Rate,No Rate
1315,Ferris Bueller's Day Off,1970-01-01 00:00:00.000001986,7.8,"336,717",Comedy,103.0,Film,PG-13,-,Mild,Mild,Moderate,Mild,Mild
1316,When Calls the Heart,1970-01-01 00:00:00.000001986,8.1,"11,716","Drama, Family, Romance",43.0,Series,TV-G,87,,,,Mild,Mild
1317,Big Mouth,1970-01-01 00:00:00.000001986,7.9,"63,265","Animation, Comedy, Romance",30.0,Series,TV-MA,45,Severe,Mild,Severe,Mild,
1318,Travelers,1970-01-01 00:00:00.000001986,8.1,"50,720","Drama, Mystery, Sci-Fi",45.0,Series,TV-MA,34,Mild,Mild,Moderate,Moderate,Mild
1319,Californication,1970-01-01 00:00:00.000001986,8.3,"175,443","Comedy, Drama",28.0,Series,TV-MA,84,Severe,Mild,Severe,Severe,
1320,Scream Queens,1970-01-01 00:00:00.000001986,7.1,"37,728","Comedy, Horror, Mystery",45.0,Series,TV-14,23,Moderate,Severe,Moderate,Mild,Moderate
1321,Lara Croft: Tomb Raider,1970-01-01 00:00:00.000002001,5.8,"204,276","Action, Adventure, Fantasy",100.0,Film,PG-13,-,Mild,Moderate,Mild,Mild,Mild
1322,Attack of the Hollywood Cliches!,1970-01-01 00:00:00.000002021,6.1,"2,137","Documentary, Comedy",58.0,Film,TV-MA,-,Moderate,Mild,Moderate,No Rate,Mild
1323,Full Metal Jacket,1970-01-01 00:00:00.000001987,8.3,"703,407","Drama, War",116.0,Film,R,-,Mild,Severe,Severe,Mild,Severe
1325,RED,1970-01-01 00:00:00.000002010,7.0,"299,106","Action, Comedy, Crime",111.0,Film,PG-13,-,Mild,Moderate,Moderate,Mild,Moderate
1326,The Game,1970-01-01 00:00:00.000001997,7.7,"370,750","Action, Drama, Mystery",129.0,Film,R,-,Mild,Mild,Moderate,Mild,Moderate
1327,The New Mutants,1970-01-01 00:00:00.000002020,5.3,"67,155","Action, Horror, Mystery",94.0,Film,PG-13,-,Mild,Moderate,Moderate,Mild,Moderate
1328,Aladdin,1970-01-01 00:00:00.000002019,6.9,"245,698","Adventure, Comedy, Family",128.0,Film,PG,-,,Mild,,,Mild
1329,Fast & Furious Presents: Hobbs & Shaw,1970-01-01 00:00:00.000002019,6.4,"194,931","Action, Adventure, Thriller",137.0,Film,PG-13,-,Mild,Moderate,Moderate,Mild,Moderate
1330,Ouija: Origin of Evil,1970-01-01 00:00:00.000002016,6.2,"58,020","Drama, Horror, Mystery",99.0,Film,PG-13,-,,Moderate,Mild,Mild,Severe
1331,Shazam!,1970-01-01 00:00:00.000002019,7.0,"296,642","Action, Adventure, Comedy",132.0,Film,PG-13,-,,Moderate,Mild,Mild,Moderate
1332,Road to Perdition,1970-01-01 00:00:00.000002002,7.7,"257,655","Crime, Drama, Thriller",117.0,Film,R,-,Mild,Moderate,Moderate,Mild,Moderate
1333,Home Again,1970-01-01 00:00:00.000002017,5.8,"30,703","Comedy, Drama, Romance",97.0,Film,PG-13,-,Mild,Mild,Mild,Mild,
1334,The Human Centipede (First Sequence),1970-01-01 00:00:00.000002009,4.4,"76,180",Horror,92.0,Film,R,-,Moderate,Severe,Severe,Moderate,Severe
1335,Batman & Robin,1970-01-01 00:00:00.000001997,3.8,"241,590","Action, Sci-Fi",125.0,Film,PG-13,-,Mild,Mild,Mild,Mild,Mild
1336,You Only Live Twice,1970-01-01 00:00:00.000001967,6.9,"103,911","Action, Adventure, Thriller",117.0,Film,PG,-,Mild,Moderate,Mild,Mild,Mild
1337,The Shield,1970-01-01 00:00:00.000001967,8.7,"76,366","Crime, Drama, Thriller",47.0,Series,TV-MA,89,Moderate,Severe,Moderate,Severe,Severe
1338,The Breakfast Club,1970-01-01 00:00:00.000001985,7.8,"373,312","Comedy, Drama",97.0,Film,R,-,Mild,Mild,Moderate,Moderate,
1339,Aftermath,1970-01-01 00:00:00.000002021,5.3,"12,053","Drama, Horror, Mystery",114.0,Film,TV-MA,-,Mild,Moderate,Moderate,Mild,Moderate
1340,Predator,1970-01-01 00:00:00.000001987,7.8,"388,411","Action, Adventure, Sci-Fi",107.0,Film,R,-,,Severe,Moderate,Mild,Moderate
1341,Father Brown,1970-01-01 00:00:00.000001987,7.7,"9,196","Crime, Drama, Mystery",52.0,Series,TV-PG,95,Mild,Mild,Mild,Moderate,Mild
1342,True Romance,1970-01-01 00:00:00.000001993,7.9,"217,377","Crime, Drama, Romance",119.0,Film,R,-,Moderate,Severe,Severe,Severe,Severe
1343,Southpaw,1970-01-01 00:00:00.000002015,7.4,"226,759","Action, Crime, Drama",124.0,Film,R,-,Mild,Moderate,Severe,Mild,Moderate
1344,Reba,1970-01-01 00:00:00.000002015,6.6,"14,309","Comedy, Drama",30.0,Series,TV-PG,125,Mild,,Mild,Mild,
1345,Firebase,1970-01-01 00:00:00.000002017,7.1,"3,912","Short, Horror, Sci-Fi",27.0,Film,Not Rated,-,,Severe,Moderate,No Rate,No Rate
1346,The Imitation Game,1970-01-01 00:00:00.000002014,8.0,"719,930","Biography, Drama, Thriller",114.0,Film,PG-13,-,Mild,Mild,Mild,Mild,Mild
1347,Greenland,1970-01-01 00:00:00.000002020,6.4,"100,856","Action, Drama, Thriller",119.0,Film,PG-13,-,,Moderate,Mild,,Moderate
1348,Hairspray,1970-01-01 00:00:00.000002007,6.7,"124,390","Comedy, Drama, Musical",117.0,Film,PG,-,Mild,,Mild,Mild,Mild
1349,Ghost,1970-01-01 00:00:00.000001990,7.1,"206,313","Drama, Fantasy, Romance",127.0,Film,PG-13,-,Mild,Moderate,Moderate,,Moderate
1350,Armageddon,1970-01-01 00:00:00.000001998,6.7,"408,801","Action, Adventure, Sci-Fi",151.0,Film,PG-13,-,Mild,Moderate,Moderate,Mild,Moderate
1352,Starship Troopers,1970-01-01 00:00:00.000001997,7.2,"280,324","Action, Adventure, Sci-Fi",129.0,Film,R,-,Moderate,Severe,Mild,Mild,Severe
1353,Freddy vs. Jason,1970-01-01 00:00:00.000002003,5.7,"114,924","Action, Horror",97.0,Film,R,-,Moderate,Severe,Severe,Moderate,Severe
1354,Mrs. Doubtfire,1970-01-01 00:00:00.000001993,7.0,"256,622","Comedy, Drama, Family",125.0,Film,PG-13,-,Mild,Mild,Moderate,Mild,
1355,Frozen,1970-01-01 00:00:00.000002013,7.4,"593,439","Animation, Adventure, Comedy",102.0,Film,PG,-,,Mild,,,Mild
1356,Happy Gilmore,1970-01-01 00:00:00.000001996,7.0,"209,266","Comedy, Sport",92.0,Film,PG-13,-,Mild,Mild,Moderate,Mild,
1357,Poldark,1970-01-01 00:00:00.000001996,8.3,"28,390","Drama, History, Romance",60.0,Series,TV-14,43,Mild,Mild,Mild,Mild,Mild
1358,Blood & Water,1970-01-01 00:00:00.000001996,6.5,"2,610","Drama, Mystery",53.0,Series,TV-MA,13,Moderate,,Mild,Moderate,No Rate
1359,Big Trouble in Little China,1970-01-01 00:00:00.000001986,7.3,"131,632","Action, Adventure, Comedy",99.0,Film,PG-13,-,Mild,Moderate,Moderate,Mild,Moderate
1360,The Blind Side,1970-01-01 00:00:00.000002009,7.6,"309,095","Biography, Drama, Sport",129.0,Film,PG-13,-,Mild,Mild,Mild,Mild,Mild
1361,The Mist,1970-01-01 00:00:00.000002007,7.1,"291,982","Horror, Sci-Fi, Thriller",126.0,Film,R,-,,Severe,Moderate,Mild,Severe
1362,King Richard,1970-01-01 00:00:00.000002021,6.7,250,"Biography, Drama, Sport",138.0,Film,PG-13,-,Mild,Mild,Moderate,Mild,Moderate
1363,The Terminal,1970-01-01 00:00:00.000002004,7.4,"429,358","Comedy, Drama, Romance",128.0,Film,PG-13,-,Mild,,Mild,Mild,
1364,Scream,1970-01-01 00:00:00.000002004,7.1,"37,042","Comedy, Crime, Drama",45.0,Series,TV-14,29,Moderate,Severe,Mild,Mild,Moderate
1365,Schmigadoon!,1970-01-01 00:00:00.000002004,7.3,"6,207","Comedy, Musical",30.0,Series,TV-14,6,Mild,,Mild,,
1366,Thor: The Dark World,1970-01-01 00:00:00.000002013,6.8,"630,536","Action, Adventure, Fantasy",112.0,Film,PG-13,-,Mild,Moderate,Mild,,Moderate
1367,Zygote,1970-01-01 00:00:00.000002017,7.2,"4,465","Short, Horror, Sci-Fi",23.0,Film,Not Rated,-,,Severe,Moderate,No Rate,No Rate
1368,The Graduate,1970-01-01 00:00:00.000001967,8.0,"263,718","Comedy, Drama, Romance",106.0,Film,PG,-,Moderate,Mild,Mild,Mild,Mild
1369,El juego de las llaves,1970-01-01 00:00:00.000001967,6.7,"1,484","Drama, Romance",30.0,Series,TV-MA,19,Moderate,No Rate,No Rate,No Rate,No Rate
1370,Octopussy,1970-01-01 00:00:00.000001983,6.5,"101,261","Action, Adventure, Thriller",131.0,Film,PG,-,Moderate,Moderate,Mild,Mild,Mild
1371,Stand by Me,1970-01-01 00:00:00.000001986,8.1,"381,082","Adventure, Drama",89.0,Film,R,-,Mild,Mild,Moderate,Mild,Moderate
1372,Total Recall,1970-01-01 00:00:00.000001990,7.5,"315,381","Action, Sci-Fi, Thriller",113.0,Film,R,-,Moderate,Severe,Moderate,,Severe
1373,The Mother,1970-01-01 00:00:00.000002003,6.8,"4,189","Drama, Romance",112.0,Film,R,-,Moderate,Mild,Moderate,Moderate,Mild
1374,Midnight in Paris,1970-01-01 00:00:00.000002011,7.7,"403,980","Comedy, Fantasy, Romance",94.0,Film,PG-13,-,Mild,,Mild,Mild,
1375,The Terminator,1970-01-01 00:00:00.000001984,8.0,"822,248","Action, Sci-Fi",107.0,Film,R,-,Moderate,Moderate,Moderate,Mild,Moderate
1376,The Fast and the Furious,1970-01-01 00:00:00.000002001,6.8,"368,789","Action, Crime, Thriller",106.0,Film,PG-13,-,Moderate,Moderate,Moderate,Mild,Mild
1377,Enola Holmes,1970-01-01 00:00:00.000002020,6.6,"150,248","Action, Adventure, Crime",123.0,Film,PG-13,-,,Mild,,,Mild
1378,King of the Hill,1970-01-01 00:00:00.000002020,7.3,"48,428","Animation, Comedy, Drama",30.0,Series,TV-PG,258,Mild,,Mild,Moderate,
1379,Not Another Teen Movie,1970-01-01 00:00:00.000002001,5.7,"101,791",Comedy,89.0,Film,R,-,Severe,Moderate,Moderate,Moderate,
1380,Twin Peaks,1970-01-01 00:00:00.000002017,8.5,"62,089","Crime, Drama, Fantasy",60.0,Series,TV-MA,18,Moderate,Severe,Severe,Moderate,Severe
1381,Clarkson's Farm,1970-01-01 00:00:00.000002017,9.1,"23,812","Documentary, Reality-TV",45.0,Series,TV-PG,9,,Mild,Moderate,Mild,
1382,The Rite,1970-01-01 00:00:00.000002011,6.0,"94,364","Drama, Horror, Mystery",114.0,Film,PG-13,-,Mild,Moderate,Mild,,Moderate
