,Name,Date,Rate,Votes,Genre,Duration,Type,Certificate,Episodes,Nudity,Violence,Profanity,Alcohol,Frightening
43,Big Sky,1970-01-01 00:00:00.000002021,6.8,"11,483","Crime, Drama, Mystery",60.0,Series,TV-14,20,Mild,Moderate,Mild,Mild,Moderate
44,Peaky Blinders,1970-01-01 00:00:00.000002021,8.8,"416,006","Crime, Drama",60.0,Series,TV-MA,36,Severe,Severe,Severe,Severe,Moderate
45,What We Do in the Shadows,1970-01-01 00:00:00.000002021,8.5,"50,078","Comedy, Fantasy, Horror",30.0,Series,TV-MA,31,Moderate,Moderate,Moderate,Mild,Mild
46,Titane,1970-01-01 00:00:00.000002021,7.2,"6,076","Drama, Horror, Sci-Fi",108.0,Film,R,-,Severe,Severe,Severe,Moderate,Severe
47,American Crime Story,1970-01-01 00:00:00.000002021,8.4,"87,503","Biography, Crime, Drama",42.0,Series,TV-MA,30,Moderate,Severe,Severe,Moderate,Severe
49,Stranger Things,1970-01-01 00:00:00.000002021,8.7,"918,729","Drama, Fantasy, Horror",51.0,Series,TV-14,34,Mild,Moderate,Moderate,Mild,Moderate
50,Titans,1970-01-01 00:00:00.000002021,7.6,"82,808","Action, Adventure, Crime",45.0,Series,TV-MA,37,Moderate,Severe,Severe,Mild,Moderate
51,Goliath,1970-01-01 00:00:00.000002021,8.2,"40,575",Drama,60.0,Series,TV-MA,32,Moderate,Moderate,Severe,Severe,Moderate
52,Breaking Bad,1970-01-01 00:00:00.000002021,9.4,"1,593,305","Crime, Drama, Thriller",49.0,Series,TV-MA,62,Mild,Severe,Moderate,Severe,Severe
53,On My Block,1970-01-01 00:00:00.000002021,8.0,"13,772","Comedy, Drama",30.0,Series,TV-14,38,Mild,Moderate,Moderate,Moderate,Mild
54,Old,1970-01-01 00:00:00.000002021,5.8,"52,713","Drama, Horror, Mystery",108.0,Film,PG-13,-,Mild,Moderate,Mild,,Moderate
55,Y: The Last Man,1970-01-01 00:00:00.000002021,6.3,"7,780","Action, Adventure, Drama",60.0,Series,TV-14,10,Mild,Moderate,Moderate,No Rate,No Rate
56,The Rookie,1970-01-01 00:00:00.000002021,8.0,"27,281","Comedy, Crime, Drama",43.0,Series,TV-14,59,Mild,Moderate,Mild,Moderate,Mild
57,No One Gets Out Alive,1970-01-01 00:00:00.000002021,5.3,"7,573","Drama, Horror, Mystery",85.0,Film,R,-,,Severe,Severe,No Rate,Severe
58,Law & Order: Special Victims Unit,1970-01-01 00:00:00.000002021,8.0,"92,115","Crime, Drama, Mystery",60.0,Series,TV-14,502,Moderate,Moderate,Moderate,Moderate,Severe
